Fri Apr 23 16:10:32 2021    output.dat

         899508 function calls (875517 primitive calls) in 1.082 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      263    0.369    0.001    0.369    0.001 {built-in method io.open_code}
     1220    0.071    0.000    0.071    0.000 {built-in method nt.stat}
       35    0.052    0.001    0.052    0.001 C:\Users\DALab\anaconda3\lib\site-packages\numba\core\datamodel\models.py:647(set)
      625    0.050    0.000    0.058    0.000 C:\Users\DALab\anaconda3\lib\site-packages\llvmlite\binding\ffi.py:149(__call__)
    18278    0.034    0.000    0.050    0.000 C:\Users\DALab\anaconda3\lib\site-packages\openpyxl\utils\cell.py:74(_get_column_letter)
    15573    0.019    0.000    0.019    0.000 C:\Users\DALab\Documents\代刚\APS\Block.py:29(__repr__)
      263    0.018    0.000    0.018    0.000 {built-in method marshal.loads}
    15573    0.012    0.000    0.013    0.000 C:\Users\DALab\Documents\代刚\APS\Bucket.py:20(add_block)
       18    0.011    0.001    0.011    0.001 {built-in method _imp.create_dynamic}
103366/103364    0.011    0.000    0.015    0.000 {built-in method builtins.isinstance}
     1640    0.010    0.000    0.010    0.000 {built-in method __new__ of type object at 0x00007FFC2661C810}
      378    0.009    0.000    0.009    0.000 {method 'read' of '_io.BufferedReader' objects}
      263    0.008    0.000    0.385    0.001 <frozen importlib._bootstrap_external>:969(get_data)
        1    0.008    0.008    0.062    0.062 C:\Users\DALab\anaconda3\lib\site-packages\openpyxl\utils\cell.py:3(<module>)
       66    0.008    0.000    0.050    0.001 C:\Users\DALab\Documents\代刚\Decode.py:43(dispatch)
    90856    0.007    0.000    0.007    0.000 {method 'append' of 'list' objects}
       40    0.007    0.000    0.007    0.000 C:\Users\DALab\anaconda3\lib\site-packages\numba\core\utils.py:27(erase_traceback)
10426/6507    0.007    0.000    0.018    0.000 {method 'format' of 'str' objects}
 1104/290    0.007    0.000    0.029    0.000 C:\Users\DALab\anaconda3\lib\site-packages\openpyxl\descriptors\serialisable.py:46(from_tree)
6808/1323    0.006    0.000    0.008    0.000 C:\Users\DALab\anaconda3\lib\site-packages\numba\core\ir.py:313(_rec_list_vars)
23285/23275    0.005    0.000    0.007    0.000 {method 'join' of 'str' objects}
       75    0.005    0.000    0.005    0.000 {built-in method io.open}
      424    0.005    0.000    0.015    0.000 C:\Users\DALab\anaconda3\lib\site-packages\openpyxl\descriptors\__init__.py:18(__new__)
     1087    0.005    0.000    0.041    0.000 {built-in method builtins.__build_class__}
    54106    0.005    0.000    0.005    0.000 {built-in method builtins.divmod}
       10    0.005    0.000    0.016    0.002 {method 'Parse' of 'pyexpat.xmlparser' objects}
    15573    0.005    0.000    0.005    0.000 C:\Users\DALab\Documents\代刚\APS\Block.py:10(__init__)
     4424    0.004    0.000    0.006    0.000 C:\Users\DALab\anaconda3\lib\xml\etree\ElementTree.py:1621(_start)
20310/20293    0.004    0.000    0.004    0.000 {built-in method builtins.getattr}
    54128    0.004    0.000    0.004    0.000 {built-in method builtins.chr}
     4951    0.003    0.000    0.005    0.000 C:\Users\DALab\anaconda3\lib\site-packages\openpyxl\descriptors\base.py:38(__set__)
       66    0.003    0.000    0.022    0.000 C:\Users\DALab\Documents\代刚\APS\Bucket.py:55(__repr__)
      263    0.003    0.000    0.428    0.002 <frozen importlib._bootstrap_external>:849(get_code)
   205/64    0.003    0.000    0.008    0.000 C:\Users\DALab\anaconda3\lib\sre_parse.py:493(_parse)
     2407    0.003    0.000    0.003    0.000 C:\Users\DALab\anaconda3\lib\site-packages\openpyxl\descriptors\base.py:18(__init__)
      307    0.003    0.000    0.050    0.000 <frozen importlib._bootstrap_external>:1431(find_spec)
    18/15    0.002    0.000    0.005    0.000 {built-in method _imp.exec_dynamic}
4270/1807    0.002    0.000    0.014    0.000 C:\Users\DALab\anaconda3\lib\site-packages\llvmlite\ir\_utils.py:44(__str__)
     4420    0.002    0.000    0.005    0.000 C:\Users\DALab\anaconda3\lib\xml\etree\ElementTree.py:1562(handler)
     1527    0.002    0.000    0.005    0.000 C:\Users\DALab\anaconda3\lib\site-packages\pandas\io\excel\_openpyxl.py:508(_convert_cell)
     1242    0.002    0.000    0.008    0.000 C:\Users\DALab\anaconda3\lib\site-packages\llvmlite\ir\instructions.py:13(__init__)
 2088/695    0.002    0.000    0.002    0.000 {built-in method _abc._abc_subclasscheck}
     2897    0.002    0.000    0.006    0.000 C:\Users\DALab\anaconda3\lib\site-packages\openpyxl\descriptors\base.py:64(__set__)
     9934    0.002    0.000    0.002    0.000 {built-in method builtins.hasattr}
       26    0.002    0.000    0.002    0.000 {built-in method nt.listdir}
     1280    0.002    0.000    0.012    0.000 C:\Users\DALab\anaconda3\lib\site-packages\llvmlite\ir\values.py:219(_to_string)
     2066    0.002    0.000    0.006    0.000 C:\Users\DALab\anaconda3\lib\site-packages\openpyxl\descriptors\base.py:34(__init__)
      120    0.002    0.000    0.011    0.000 C:\Users\DALab\anaconda3\lib\site-packages\numba\core\typing\context.py:418(install_registry)
   294/30    0.002    0.000    0.669    0.022 <frozen importlib._bootstrap>:986(_find_and_load)
     1230    0.002    0.000    0.004    0.000 C:\Users\DALab\anaconda3\lib\site-packages\openpyxl\worksheet\_reader.py:177(parse_cell)
     1596    0.002    0.000    0.007    0.000 C:\Users\DALab\anaconda3\lib\site-packages\llvmlite\ir\values.py:212(__init__)
      287    0.002    0.000    0.058    0.000 <frozen importlib._bootstrap>:890(_find_spec)
    12524    0.002    0.000    0.002    0.000 C:\Users\DALab\anaconda3\lib\xml\etree\ElementTree.py:1604(_fixname)
     4420    0.002    0.000    0.003    0.000 C:\Users\DALab\anaconda3\lib\xml\etree\ElementTree.py:1633(_end)
      629    0.002    0.000    0.002    0.000 C:\Users\DALab\anaconda3\lib\site-packages\numba\core\types\functions.py:247(__init__)
      526    0.002    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:294(cache_from_source)
3212/3209    0.002    0.000    0.004    0.000 C:\Users\DALab\anaconda3\lib\site-packages\llvmlite\ir\_utils.py:54(get_reference)
     2361    0.002    0.000    0.002    0.000 {method 'match' of 're.Pattern' objects}
        1    0.002    0.002    0.018    0.018 C:\Users\DALab\anaconda3\lib\site-packages\openpyxl\styles\builtins.py:5(<module>)
   417/53    0.002    0.000    0.004    0.000 C:\Users\DALab\anaconda3\lib\sre_compile.py:71(_compile)
2789/1028    0.002    0.000    0.029    0.000 C:\Users\DALab\anaconda3\lib\site-packages\pkg_resources\__init__.py:2385(yield_lines)
     6414    0.002    0.000    0.002    0.000 C:\Users\DALab\anaconda3\lib\site-packages\openpyxl\descriptors\base.py:23(__set__)
15433/14842    0.002    0.000    0.002    0.000 {built-in method builtins.len}
2872/2231    0.002    0.000    0.003    0.000 C:\Users\DALab\anaconda3\lib\site-packages\numba\core\types\abstract.py:117(__hash__)
      432    0.002    0.000    0.008    0.000 C:\Users\DALab\anaconda3\lib\site-packages\openpyxl\descriptors\__init__.py:9(__new__)
      216    0.001    0.000    0.004    0.000 C:\Users\DALab\anaconda3\lib\site-packages\numba\core\typing\templates.py:815(make_overload_template)
     1076    0.001    0.000    0.002    0.000 C:\Users\DALab\anaconda3\lib\ntpath.py:124(splitdrive)
     1576    0.001    0.000    0.003    0.000 C:\Users\DALab\anaconda3\lib\site-packages\llvmlite\ir\_utils.py:24(deduplicate)
     1489    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:62(_path_join)
     1496    0.001    0.000    0.003    0.000 C:\Users\DALab\anaconda3\lib\site-packages\openpyxl\xml\functions.py:75(localname)
        3    0.001    0.000    0.052    0.017 C:\Users\DALab\Documents\代刚\Decode.py:34(decode)
      138    0.001    0.000    0.001    0.000 C:\Users\DALab\anaconda3\lib\site-packages\zmq\sugar\socket.py:432(send)
     3271    0.001    0.000    0.002    0.000 C:\Users\DALab\anaconda3\lib\xml\etree\ElementTree.py:1292(read_events)
      526    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:68(_path_split)
 1085/953    0.001    0.000    0.176    0.000 <frozen importlib._bootstrap>:1017(_handle_fromlist)
     1681    0.001    0.000    0.005    0.000 C:\Users\DALab\anaconda3\lib\site-packages\openpyxl\descriptors\nested.py:28(__set__)
     5997    0.001    0.000    0.003    0.000 {method 'get' of 'dict' objects}
     6466    0.001    0.000    0.001    0.000 {method 'startswith' of 'str' objects}
       11    0.001    0.000    0.006    0.001 C:\Users\DALab\anaconda3\lib\site-packages\numba\core\analysis.py:23(compute_use_defs)
     1230    0.001    0.000    0.001    0.000 C:\Users\DALab\anaconda3\lib\site-packages\openpyxl\utils\cell.py:193(coordinate_to_tuple)
   281/28    0.001    0.000    0.662    0.024 <frozen importlib._bootstrap>:650(_load_unlocked)
      281    0.001    0.000    0.006    0.000 <frozen importlib._bootstrap>:477(_init_module_attrs)
